date_observed,search_term,store,product_title,product_url,package_size_text,package_size,package_unit,displayed_price,unit_price_text,listed_unit_price,listed_unit,is_variable_weight,sale_status,sale_price,regular_price,multi_buy_quantity,multi_buy_unit_price,single_item_price,category,product_family,comparison_group,product_form,attributes,standardized_unit,price_per_standard_unit,data_quality_warning,normalization_error
2026-09-19,chicken breast,Food Basics Canada,Boneless and Skinless Chicken Breast,https://www.foodbasics.ca/aisles/meat-poultry/chicken-turkey/breasts/boneless-and-skinless-chicken-breast/p/234960,900 g,900.0,g,14.0,$1.56 /100g,1.56,100g,False,,,,,,,meat,chicken_breast,chicken_breast_boneless,whole,boneless|skinless,100g,1.5555555555555556,,
2026-09-19,chicken breast,Food Basics Canada,"Boneless Skinless Chicken Breast, Value Pack",https://www.foodbasics.ca/aisles/meat-poultry/chicken-turkey/breasts/boneless-skinless-chicken-breast/p/216154,,,,18.16,$16.51 /kg$7.49 /lb.,16.51,kg,True,,,,,,,meat,chicken_breast,chicken_breast_boneless,whole,boneless|skinless,100g,1.651,,
2026-09-19,chicken breast,Food Basics Canada,"Boneless Skinless Chicken Breasts, Prime",https://www.foodbasics.ca/aisles/meat-poultry/chicken-turkey/breasts/boneless-skinless-chicken-breasts/p/236338,,,,8.48,$24.23 /kg$10.99 /lb.,24.23,kg,True,,,,,,,meat,chicken_breast,chicken_breast_boneless,whole,boneless|skinless,100g,2.423,,
2026-09-19,chicken breast,Food Basics Canada,"Boneless Skinless Chicken Breasts, Prime",https://www.foodbasics.ca/aisles/meat-poultry/chicken-turkey/breasts/boneless-skinless-chicken-breasts/p/236352,,,,20.48,$22.02 /kg$9.99 /lb.,22.02,kg,True,,,,,,,meat,chicken_breast,chicken_breast_boneless,whole,boneless|skinless,100g,2.202,,
2026-09-19,chicken breast,Food Basics Canada,Boneless Skinless Halal Chicken Breast,https://www.foodbasics.ca/aisles/meat-poultry/chicken-turkey/breasts/boneless-skinless-halal-chicken-breast/p/222767,,,,22.02,$22.02 /kg$9.99 /lb.,22.02,kg,True,,,,,,,meat,chicken_breast,chicken_breast_boneless,whole,halal|boneless|skinless,100g,2.202,,
2026-09-19,chicken breast,Food Basics Canada,"Boneless Skinless Chicken Breast Fillets, Prime",https://www.foodbasics.ca/aisles/meat-poultry/chicken-turkey/breasts/boneless-skinless-chicken-breast-fillets/p/236348,,,,12.41,$35.25 /kg$15.99 /lb.,35.25,kg,True,,,,,,,meat,chicken_breast,chicken_breast_boneless,fillet,boneless|skinless,100g,3.5249999999999995,,
2026-09-19,chicken breast,Food Basics Canada,Fully Coocked Chicken Breast Slices,https://www.foodbasics.ca/aisles/deli-prepared-meals/ready-meals-sides/meat-meals/fully-coocked-chicken-breast-slices/p/829854152129,600 g,600.0,g,12.99,$2.17 /100g,2.17,100g,False,,,,,,,unknown,unknown,unsupported,unknown,,100g,2.165,,
2026-09-19,chicken breast,Food Basics Canada,"Skinless Half Chicken Breast without Back, Value Pack",https://www.foodbasics.ca/aisles/meat-poultry/chicken-turkey/breasts/skinless-half-chicken-breast-without-back/p/215579,,,,21.47,$14.31 /kg$6.49 /lb.,14.31,kg,True,,,,,,,meat,chicken_breast,chicken_breast,whole,skinless,100g,1.431,,
2026-09-19,chicken breast,Food Basics Canada,Boneless Skinless Chicken Breasts,https://www.foodbasics.ca/aisles/meat-poultry/chicken-turkey/breasts/boneless-skinless-chicken-breasts/p/215064,,,,10.74,$17.61 /kg$7.99 /lb.,17.61,kg,True,,,,,,,meat,chicken_breast,chicken_breast_boneless,whole,boneless|skinless,100g,1.7610000000000001,,
2026-09-19,chicken breast,Food Basics Canada,Diced Chicken Breast,https://www.foodbasics.ca/aisles/meat-poultry/chicken-turkey/breasts/diced-chicken-breast/p/247794,,,,21.15,$35.25 /kg$15.99 /lb.,35.25,kg,True,,,,,,,meat,chicken_breast,chicken_breast_diced,diced,,100g,3.5249999999999995,,
