date_observed,search_term,store,product_title,product_url,package_size_text,package_size,package_unit,displayed_price,unit_price_text,listed_unit_price,listed_unit,is_variable_weight,sale_status,sale_price,regular_price,multi_buy_quantity,multi_buy_unit_price,single_item_price,category,product_family,comparison_group,product_form,attributes,standardized_unit,price_per_standard_unit,data_quality_warning,normalization_error,displayed_price_text,promotion_text
2026-09-20,chicken breast,Loblaws Canada,Spicy Chicken Burgers,https://www.loblaws.ca/en/spicy-chicken-burgers/p/21741185_EA,600 g,600.0,g,15.0,$2.50/100g,2.5,100g,False,,,,,,,unknown,unknown,unsupported,unknown,,100g,2.5,,,$15.00,
2026-09-20,chicken breast,Loblaws Canada,Extra Lean Boneless Skinless Chicken Breasts,https://www.loblaws.ca/en/extra-lean-boneless-skinless-chicken-breasts/p/21340952_EA,1 ea,1.0,count,13.0,$13.00/1ea,13.0,1unit,False,,,,,,,meat,chicken_breast,chicken_breast_boneless,whole,boneless|skinless,1unit,,,"Incompatible comparison unit for chicken_breast_boneless: expected 100g, found 1unit.",$13.00,
2026-09-20,chicken breast,Loblaws Canada,Halal Chicken Wieners,https://www.loblaws.ca/en/halal-chicken-wieners/p/21670026_EA,375 g,375.0,g,4.0,$1.07/100g,1.07,100g,False,,,,,,,unknown,unknown,unsupported,unknown,,100g,1.0666666666666667,,,$4.00,
2026-09-20,chicken breast,Loblaws Canada,Boneless Skinless Chicken Breasts,https://www.loblaws.ca/en/boneless-skinless-chicken-breasts/p/21551175_EA,1.1 kg,1.1,kg,21.0,$1.91/100g,1.91,100g,False,,,,,,,meat,chicken_breast,chicken_breast_boneless,whole,boneless|skinless,100g,1.9090909090909092,,,$21.00,
2026-09-20,chicken breast,Loblaws Canada,Chicken Breast Boneless Skinless Club Pack,https://www.loblaws.ca/en/chicken-breast-boneless-skinless-club-pack/p/20028450_KG,,,,12.66,$10.76/1kg $4.88/1lb,10.76,kg,True,SALE,12.66,24.62,,,,meat,chicken_breast,chicken_breast_boneless,whole,boneless|skinless,100g,1.076,,,about $12.66,SAVE $11.96
2026-09-20,chicken breast,Loblaws Canada,Halal Boneless Skinless Chicken Breast,https://www.loblaws.ca/en/halal-boneless-skinless-chicken-breast/p/21616967_EA,1.505 kg,1.505,kg,30.0,$1.99/100g,1.99,100g,False,,,,,,,meat,chicken_breast,chicken_breast_boneless,whole,halal|boneless|skinless,100g,1.9933554817275747,,,$30.00,
2026-09-20,chicken breast,Loblaws Canada,Extra Lean Chicken Breast Fillets,https://www.loblaws.ca/en/extra-lean-chicken-breast-fillets/p/21341048_EA,1 ea,1.0,count,12.0,$12.00/1ea,12.0,1unit,False,,,,,,,meat,chicken_breast,chicken_breast,fillet,,1unit,,,"Incompatible comparison unit for chicken_breast: expected 100g, found 1unit.",$12.00,
2026-09-20,chicken breast,Loblaws Canada,"Club Pack Chicken Breasts, Boneless Skinless",https://www.loblaws.ca/en/club-pack-chicken-breasts-boneless-skinless/p/20702394_EA,2 kg,2.0,kg,40.0,$2.00/100g,2.0,100g,False,,,,,,,meat,chicken_breast,chicken_breast_boneless,whole,boneless|skinless,100g,2.0,,,$40.00,
2026-09-20,chicken breast,Loblaws Canada,"Free From Chicken Breast, Boneless, Skinless",https://www.loblaws.ca/en/free-from-chicken-breast-boneless-skinless/p/21668470_KG,,,,12.37,$26.43/1kg $11.99/1lb,26.43,kg,True,,,,,,,meat,chicken_breast,chicken_breast_boneless,whole,boneless|skinless,100g,2.643,,,about $12.37,
2026-09-20,chicken breast,Loblaws Canada,Extra Lean Boneless Skinless Chicken Cutlets,https://www.loblaws.ca/en/extra-lean-boneless-skinless-chicken-cutlets/p/21662465_EA,590 g,590.0,g,13.0,$2.17/100g,2.17,100g,False,,,,,,,unknown,unknown,unsupported,unknown,,100g,2.2033898305084745,,,$13.00,
