date_observed,search_term,store,product_title,product_url,package_size_text,package_size,package_unit,displayed_price,unit_price_text,listed_unit_price,listed_unit,is_variable_weight,sale_status,sale_price,regular_price,multi_buy_quantity,multi_buy_unit_price,single_item_price,category,product_family,comparison_group,product_form,attributes,standardized_unit,price_per_standard_unit,data_quality_warning,normalization_error,displayed_price_text,regular_price_text,regular_price_unit
2026-09-20,chicken breast,Metro Canada,"Boneless and Skinless Chicken Breasts, Value Pack",https://www.metro.ca/en/online-grocery/aisles/meat-poultry/chicken-turkey/breasts/boneless-and-skinless-chicken-breasts/p/206022,5 breasts per tray,,,12.58,$11.00 / kg $4.99 / lb.,11.0,kg,True,sale,12.58,20.92,,,,meat,chicken_breast,chicken_breast_boneless,whole,boneless|skinless,100g,1.0999999999999999,,,$12.58 avg. ea.,Regular price $20.92 / kg $9.49 / lb.,kg
2026-09-20,chicken breast,Metro Canada,"Boneless, Skinless Chicken Breasts, Prime",https://www.metro.ca/en/online-grocery/aisles/meat-poultry/chicken-turkey/breasts/boneless-skinless-chicken-breasts/p/244963,4 per tray,,,11.32,$13.21 / kg $5.99 / lb.,13.21,kg,True,sale,11.32,27.09,,,,meat,chicken_breast,chicken_breast_boneless,whole,boneless|skinless,100g,1.3210000000000002,,,$11.32 avg. ea.,Regular price $27.09 / kg $12.29 / lb.,kg
2026-09-20,chicken breast,Metro Canada,"Boneless Trimmed Chicken Breasts, Value Pack",https://www.metro.ca/en/online-grocery/aisles/value-pack/fresh-market/meat-deli-fish/boneless-trimmed-chicken-breasts/p/213217,4 per tray,,,13.21,$13.21 / kg $5.99 / lb.,13.21,kg,True,sale,13.21,22.02,,,,meat,chicken_breast,chicken_breast_boneless,whole,boneless,100g,1.3210000000000002,,,$13.21 avg. ea.,Regular price $22.02 / kg $9.99 / lb.,kg
2026-09-20,chicken breast,Metro Canada,Chicken Breast Fillet,https://www.metro.ca/en/online-grocery/aisles/meat-poultry/chicken-turkey/breasts/chicken-breast-fillet/p/215586,,,,4.61,$15.41 / kg $6.99 / lb.,15.41,kg,True,sale,4.61,24.23,,,,meat,chicken_breast,chicken_breast,fillet,,100g,1.541,,,$4.61 avg. ea.,Regular price $24.23 / kg $10.99 / lb.,kg
2026-09-20,chicken breast,Metro Canada,Oven Roasted Chicken Breast Strips,https://www.metro.ca/en/online-grocery/aisles/deli-prepared-meals/deli-meats/turkey-chicken/oven-roasted-chicken-breast-strips/p/063100499310,250 g,250.0,g,8.99,$3.60 /100 g,3.6,100g,False,sale,8.99,9.99,,,,unknown,unknown,unsupported,unknown,,100g,3.596,,,$8.99 ea.,Regular price $9.99 ea.,
2026-09-20,chicken breast,Metro Canada,"Boneless, Skinless Chicken Breasts",https://www.metro.ca/en/online-grocery/aisles/meat-poultry/chicken-turkey/breasts/boneless-skinless-chicken-breasts/p/244931,2 per tray,,,14.1,$29.74 / kg $13.49 / lb.,29.74,kg,True,,,,,,,meat,chicken_breast,chicken_breast_boneless,whole,boneless|skinless,100g,2.9739999999999998,,,$14.10 avg. ea.,,
2026-09-20,chicken breast,Metro Canada,Skinless Chicken Breast Without Back,https://www.metro.ca/en/online-grocery/aisles/meat-poultry/chicken-turkey/breasts/skinless-chicken-breast-without-back/p/206152,1 per tray,,,11.45,$17.61 / kg $7.99 / lb.,17.61,kg,True,,,,,,,meat,chicken_breast,chicken_breast,whole,skinless,100g,1.7610000000000001,,,$11.45 avg. ea.,,
2026-09-20,chicken breast,Metro Canada,Boneless Skinless Chicken Breast,https://www.metro.ca/en/online-grocery/aisles/meat-poultry/chicken-turkey/breasts/boneless-skinless-chicken-breast/p/245641,2 per tray,,,10.13,$22.02 / kg $9.99 / lb.,22.02,kg,True,,,,,,,meat,chicken_breast,chicken_breast_boneless,whole,boneless|skinless,100g,2.202,,,$10.13 avg. ea.,,
2026-09-20,chicken breast,Metro Canada,Chicken Breast Without Back,https://www.metro.ca/en/online-grocery/aisles/meat-poultry/chicken-turkey/breasts/chicken-breast-without-back/p/206009,3 to 4 units per tray,,,15.41,$15.41 / kg $6.99 / lb.,15.41,kg,True,,,,,,,meat,chicken_breast,chicken_breast,whole,,100g,1.541,,,$15.41 avg. ea.,,
2026-09-20,chicken breast,Metro Canada,Boneless Skinless Chicken Breast Fillets,https://www.metro.ca/en/online-grocery/aisles/meat-poultry/chicken-turkey/breasts/boneless-skinless-chicken-breast-fillets/p/244945,,,,14.99,$34.15 / kg $15.49 / lb.,34.15,kg,True,,,,,,,meat,chicken_breast,chicken_breast_boneless,fillet,boneless|skinless,100g,3.415,,,$14.99 avg. ea.,,
