date_observed,search_term,store,product_title,product_url,package_size_text,package_size,package_unit,displayed_price,unit_price_text,listed_unit_price,listed_unit,is_variable_weight,sale_status,sale_price,regular_price,category,product_family,comparison_group,product_form,attributes,standardized_unit,price_per_standard_unit,data_quality_warning,normalization_error
2026-09-19,chicken breast,No Frills Canada,Spicy Chicken Burgers,https://www.nofrills.ca/en/spicy-chicken-burgers/p/21741185_EA,600 g,600.0,g,12.99,$2.17/100g,2.17,100g,False,,,,unknown,unknown,unsupported,unknown,,100g,2.165,,
2026-09-19,chicken breast,No Frills Canada,"Boneless Skinless Chicken Breasts, Raised on Canadian Farms",https://www.nofrills.ca/en/boneless-skinless-chicken-breasts-raised-on-canadi/p/20569087_EA,508 g,508.0,g,14.0,$2.76/100g,2.76,100g,False,,,,meat,chicken_breast,chicken_breast_boneless,whole,boneless|skinless,100g,2.7559055118110236,,
2026-09-19,chicken breast,No Frills Canada,Halal Chicken Wieners,https://www.nofrills.ca/en/halal-chicken-wieners/p/21670026_EA,375 g,375.0,g,3.29,$0.88/100g,0.88,100g,False,,,,unknown,unknown,unsupported,unknown,,100g,0.8773333333333333,,
2026-09-19,chicken breast,No Frills Canada,"Boneless Skinless Chicken Breasts, Raised on Canadian Farms",https://www.nofrills.ca/en/boneless-skinless-chicken-breasts-raised-on-canadi/p/20568928_EA,401 g,401.0,g,14.0,$3.49/100g,3.49,100g,False,,,,meat,chicken_breast,chicken_breast_boneless,whole,boneless|skinless,100g,3.4912718204488775,,
2026-09-19,chicken breast,No Frills Canada,"Chicken Breast Boneless & Skinless, Club Pack",https://www.nofrills.ca/en/chicken-breast-boneless-skinless-club-pack/p/20654124_KG,,,,16.2,$13.21/1kg $5.99/1lb,13.21,kg,True,SALE,16.2,18.89,meat,chicken_breast,chicken_breast_boneless,whole,boneless|skinless,100g,1.3210000000000002,,
2026-09-19,chicken breast,No Frills Canada,"Boneless Skinless Chicken Breasts, Raised on Canadian Farms",https://www.nofrills.ca/en/boneless-skinless-chicken-breasts-raised-on-canadi/p/21185111_EA,1 ea,1.0,count,21.0,$21.00/1ea,21.0,1unit,False,,,,meat,chicken_breast,chicken_breast_boneless,whole,boneless|skinless,1unit,,,"Incompatible comparison unit for chicken_breast_boneless: expected 100g, found 1unit."
2026-09-19,chicken breast,No Frills Canada,Extra Lean Boneless Skinless Chicken Breasts,https://www.nofrills.ca/en/extra-lean-boneless-skinless-chicken-breasts/p/21606270_EA,841 g,841.0,g,16.0,$1.90/100g,1.9,100g,False,,,,meat,chicken_breast,chicken_breast_boneless,whole,boneless|skinless,100g,1.9024970273483945,,
2026-09-19,chicken breast,No Frills Canada,Blue Menu Extra Lean Boneless Skinless Chicken Breasts,https://www.nofrills.ca/en/blue-menu-extra-lean-boneless-skinless-chicken-bre/p/21606970_EA,0.42 kg,0.42,kg,9.0,$2.14/100g,2.14,100g,False,,,,meat,chicken_breast,chicken_breast_boneless,whole,boneless|skinless,100g,2.142857142857143,,
2026-09-19,chicken breast,No Frills Canada,"Free From Chicken Breast, Boneless, Skinless",https://www.nofrills.ca/en/free-from-chicken-breast-boneless-skinless/p/21668470_KG,,,,11.85,$25.33/1kg $11.49/1lb,25.33,kg,True,,,,meat,chicken_breast,chicken_breast_boneless,whole,boneless|skinless,100g,2.533,,
2026-09-19,chicken breast,No Frills Canada,Free From Boneless Skinless Chicken Breasts,https://www.nofrills.ca/en/free-from-boneless-skinless-chicken-breasts/p/21668770_KG,,,,20.36,$19.82/1kg $8.99/1lb,19.82,kg,True,,,,meat,chicken_breast,chicken_breast_boneless,whole,boneless|skinless,100g,1.982,,
2026-09-19,chicken breast,No Frills Canada,Chicken Breasts,https://www.nofrills.ca/en/chicken-breasts/p/21741388_EA,800 g,800.0,g,15.0,$1.88/100g,1.88,100g,False,,,,meat,chicken_breast,chicken_breast,whole,,100g,1.875,,
2026-09-19,chicken breast,No Frills Canada,"Tex Mex, Gluten-Free One Step Seasoning Signature Blends",https://www.nofrills.ca/en/tex-mex-gluten-free-one-step-seasoning-signature-b/p/20301395002_EA,136 g,136.0,g,6.5,$4.78/100g,4.78,100g,False,,,,unknown,unknown,unsupported,unknown,,100g,4.779411764705882,,
2026-09-19,eggs,No Frills Canada,Large Size Eggs 12 Pack,https://www.nofrills.ca/en/large-size-eggs-12-pack/p/20812144001_EA,12 ea,12.0,count,3.93,$0.33/1ea,0.33,1unit,False,,,,dairy,eggs,large_eggs,shell,,1unit,0.3275,,
2026-09-19,eggs,No Frills Canada,"Eggs, Medium",https://www.nofrills.ca/en/eggs-medium/p/21685186001_EA,30 ea,30.0,count,9.54,$0.32/1ea,0.32,1unit,False,,,,dairy,eggs,medium_eggs,shell,,1unit,0.31799999999999995,,
2026-09-19,eggs,No Frills Canada,Free Run Brown Eggs Large,https://www.nofrills.ca/en/free-run-brown-eggs-large/p/20813628001_EA,12 ea,12.0,count,7.18,$0.60/1ea,0.6,1unit,False,,,,dairy,eggs,large_eggs,shell,free_run,1unit,0.5983333333333333,,
2026-09-19,eggs,No Frills Canada,"Nature's Best White Eggs, Large",https://www.nofrills.ca/en/nature-s-best-white-eggs-large/p/20814983001_EA,12 ea,12.0,count,5.0,$0.42/1ea,0.42,1unit,False,SALE,5.0,5.69,dairy,eggs,large_eggs,shell,,1unit,0.4166666666666667,,
2026-09-19,eggs,No Frills Canada,"Free-Range Large Brown Eggs, Club Pack (30 Count)",https://www.nofrills.ca/en/free-range-large-brown-eggs-club-pack-30-count/p/21205224001_EA,30 ea,30.0,count,17.5,$0.58/1ea,0.58,1unit,False,,,,dairy,eggs,large_eggs,shell,free_range,1unit,0.5833333333333334,,
2026-09-19,eggs,No Frills Canada,Premium Large Eggs,https://www.nofrills.ca/en/premium-large-eggs/p/20822787001_EA,18 ea,18.0,count,6.98,$0.39/1ea,0.39,1unit,False,,,,dairy,eggs,large_eggs,shell,,1unit,0.3877777777777778,,
2026-09-19,eggs,No Frills Canada,Organics Large Size Free-Range Brown Eggs 12 Pack,https://www.nofrills.ca/en/organics-large-size-free-range-brown-eggs-12-pack/p/20813711001_EA,12 ea,12.0,count,7.99,$0.67/1ea,0.67,1unit,False,,,,dairy,eggs,large_eggs,shell,organic|free_range,1unit,0.6658333333333334,,
2026-09-19,eggs,No Frills Canada,"Naturegg Nest Laid White Eggs, Large",https://www.nofrills.ca/en/naturegg-nest-laid-white-eggs-large/p/20816075001_EA,12 ea,12.0,count,5.0,$0.42/1ea,0.42,1unit,False,SALE,5.0,6.19,dairy,eggs,large_eggs,shell,,1unit,0.4166666666666667,,
2026-09-19,eggs,No Frills Canada,Extra Large Size Eggs 12 Pack,https://www.nofrills.ca/en/extra-large-size-eggs-12-pack/p/20812726001_EA,12 ea,12.0,count,4.71,$0.39/1ea,0.39,1unit,False,,,,dairy,eggs,extra_large_eggs,shell,,1unit,0.3925,,
2026-09-19,eggs,No Frills Canada,Brown Eggs Free Run Omega-3 Size: Large,https://www.nofrills.ca/en/brown-eggs-free-run-omega-3-size-large/p/21542380001_EA,18 ea,18.0,count,10.49,$0.58/1ea,0.58,1unit,False,,,,dairy,eggs,large_eggs,shell,free_run|omega_3,1unit,0.5827777777777778,,
2026-09-19,eggs,No Frills Canada,Medium Size Eggs 12 Pack,https://www.nofrills.ca/en/medium-size-eggs-12-pack/p/20813386001_EA,12 ea,12.0,count,3.79,$0.32/1ea,0.32,1unit,False,,,,dairy,eggs,medium_eggs,shell,,1unit,0.31583333333333335,,
2026-09-19,eggs,No Frills Canada,Unsalted Plant Butter Sticks,https://www.nofrills.ca/en/unsalted-plant-butter-sticks/p/21088940_EA,454 g,454.0,g,5.0,$1.10/100g,1.1,100g,False,,,,unknown,unknown,unsupported,unknown,,100g,1.1013215859030838,,
2026-09-19,apples,No Frills Canada,"Fruit Sauce, Apple Strawberry 4P",https://www.nofrills.ca/en/fruit-sauce-apple-strawberry-4p/p/20322697001_EA,4x90.0 g,360.0,g,3.0,$0.83/100g,0.83,100g,False,SALE,3.0,3.5,unknown,unknown,unsupported,unknown,,100g,0.8333333333333334,,
2026-09-19,apples,No Frills Canada,"Naturally Imperfect Apples, 6 lb bag",https://www.nofrills.ca/en/naturally-imperfect-apples-6-lb-bag/p/20868985001_EA,2.72 kg,2.72,kg,7.0,$0.26/100g,0.26,100g,False,,,,produce,apples,fresh_apples,bagged,,100g,0.25735294117647056,,
2026-09-19,apples,No Frills Canada,"Fruit Sauce, Apple Apple 4P",https://www.nofrills.ca/en/fruit-sauce-apple-apple-4p/p/20322697002_EA,4x90.0 g,360.0,g,3.0,$0.83/100g,0.83,100g,False,SALE,3.0,3.5,unknown,unknown,unsupported,unknown,,100g,0.8333333333333334,,
2026-09-19,apples,No Frills Canada,Cheerios Cereal Apple Cinnamon Family Size,https://www.nofrills.ca/en/cheerios-cereal-apple-cinnamon-family-size/p/21103509_EA,778 g,778.0,g,4.87,$0.63/100g,0.63,100g,False,SALE,4.87,5.5,unknown,unknown,unsupported,unknown,,100g,0.6259640102827764,,
2026-09-19,apples,No Frills Canada,"Gala Apples, 3 lb Bag",https://www.nofrills.ca/en/gala-apples-3-lb-bag/p/20606349001_EA,1.36 kg,1.36,kg,8.99,$0.66/100g,0.66,100g,False,,,,produce,apples,fresh_apples,bagged,,100g,0.6610294117647059,,
2026-09-19,apples,No Frills Canada,Apple Juice Carton,https://www.nofrills.ca/en/apple-juice-carton/p/20336726001_EA,1 l,1.0,l,2.0,$0.20/100ml,0.2,100ml,False,,,,unknown,unknown,unsupported,unknown,,1L,2.0,,
2026-09-19,apples,No Frills Canada,Apple Cosmic Crisp,https://www.nofrills.ca/en/apple-cosmic-crisp/p/21240884001_KG,,,,1.85,$7.69/1kg $3.49/1lb,7.69,kg,True,,,,produce,apples,fresh_apples,loose,,100g,0.769,,
2026-09-19,apples,No Frills Canada,Pink Lady Apples,https://www.nofrills.ca/en/pink-lady-apples/p/20093376001_KG,,,,1.38,$6.59/1kg $2.99/1lb,6.59,kg,True,,,,produce,apples,fresh_apples,loose,,100g,0.6589999999999999,,
2026-09-19,apples,No Frills Canada,Fuji Apples,https://www.nofrills.ca/en/fuji-apples/p/20310940001_KG,,,,1.05,$4.39/1kg $1.99/1lb,4.39,kg,True,,,,produce,apples,fresh_apples,loose,,100g,0.439,,
2026-09-19,apples,No Frills Canada,Granny Smith Apples,https://www.nofrills.ca/en/granny-smith-apples/p/20253488001_KG,,,,1.32,$6.59/1kg $2.99/1lb,6.59,kg,True,,,,produce,apples,fresh_apples,loose,,100g,0.6589999999999999,,
2026-09-19,apples,No Frills Canada,"McIntosh Apples, 4 lb Bag",https://www.nofrills.ca/en/mcintosh-apples-4-lb-bag/p/20713211001_EA,1.81 kg,1.81,kg,4.99,$0.28/100g,0.28,100g,False,SALE,4.99,7.99,produce,apples,fresh_apples,bagged,,100g,0.27569060773480664,,
2026-09-19,apples,No Frills Canada,Gerber Lil’ Crunchies Veggie Dip Flavour Toddler Snacks,https://www.nofrills.ca/en/gerber-lil-crunchies-veggie-dip-flavour-toddler-sn/p/20304618001_EA,42 g,42.0,g,3.0,$7.14/100g,7.14,100g,False,,,,unknown,unknown,unsupported,unknown,,100g,7.142857142857142,,
2026-09-19,bananas,No Frills Canada,Gerber Stage 3 Oat Banana Mango Baby Cereal,https://www.nofrills.ca/en/gerber-stage-3-oat-banana-mango-baby-cereal/p/21024946_EA,227 g,227.0,g,4.5,$1.98/100g,1.98,100g,False,,,,unknown,unknown,unsupported,unknown,,100g,1.9823788546255507,,
