date_observed,search_term,store,product_title,product_url,package_size_text,package_size,package_unit,displayed_price,unit_price_text,listed_unit_price,listed_unit,is_variable_weight,sale_status,sale_price,regular_price,multi_buy_quantity,multi_buy_unit_price,single_item_price,category,product_family,comparison_group,product_form,attributes,standardized_unit,price_per_standard_unit,data_quality_warning,normalization_error
2026-09-19,bread,No Frills Canada,Pane Rustico,https://www.nofrills.ca/en/pane-rustico/p/21616182_EA,700 g,700.0,g,5.0,$0.71/100g,0.71,100g,False,,,,,,,bakery,bread,artisan_bread,loaf,,100g,0.7142857142857143,,
2026-09-19,bread,No Frills Canada,Classic White Bistro,https://www.nofrills.ca/en/classic-white-bistro/p/21616092_EA,595 g,595.0,g,5.0,$0.84/100g,0.84,100g,False,,,,,,,bakery,bread,artisan_bread,loaf,,100g,0.8403361344537815,,
2026-09-19,bread,No Frills Canada,Sourdough Bistro,https://www.nofrills.ca/en/sourdough-bistro/p/21616156_EA,595 g,595.0,g,5.0,$0.84/100g,0.84,100g,False,,,,,,,bakery,bread,artisan_bread,loaf,,100g,0.8403361344537815,,
2026-09-19,cheese,Food Basics Canada,Mild Marbled Cheddar Cheese,https://www.foodbasics.ca/aisles/dairy-eggs/packaged-cheese/cheese-blocks/mild-marbled-cheddar-cheese/p/059749969437,400 g,400.0,g,4.88,$1.22 /100g,1.22,100g,False,sale,4.88,5.99,,,,dairy,cheese,cheddar_cheese,unspecified,,100g,1.22,,
2026-09-19,cheese,Food Basics Canada,Old Cheddar Cheese,https://www.foodbasics.ca/aisles/dairy-eggs/packaged-cheese/cheese-blocks/old-cheddar-cheese/p/059749969468,400 g,400.0,g,4.88,$1.22 /100g,1.22,100g,False,sale,4.88,5.99,,,,dairy,cheese,cheddar_cheese,unspecified,,100g,1.22,,
2026-09-19,cheese,Food Basics Canada,Shredded Double Cheddar Cheese Blend,https://www.foodbasics.ca/aisles/dairy-eggs/packaged-cheese/shredded-cheese/shredded-double-cheddar-cheese-blend/p/059749949378,320 g,320.0,g,4.88,$1.53 /100g,1.53,100g,False,sale,4.88,5.79,,,,dairy,cheese,cheddar_cheese,shredded,,100g,1.525,,
2026-09-19,cheese,Food Basics Canada,Marble Cheddar Cheese,https://www.foodbasics.ca/aisles/dairy-eggs/packaged-cheese/cheese-blocks/marble-cheddar-cheese/p/068200885117,400 g,400.0,g,7.99,$2.00 /100g,2.0,100g,False,,,,,,,dairy,cheese,cheddar_cheese,unspecified,,100g,1.9975,,
2026-09-19,cheese,Food Basics Canada,Old Orange Cheddar Cheese,https://www.foodbasics.ca/aisles/dairy-eggs/packaged-cheese/cheese-blocks/old-orange-cheddar-cheese/p/068200885513,400 g,400.0,g,7.99,$2.00 /100g,2.0,100g,False,,,,,,,dairy,cheese,cheddar_cheese,unspecified,,100g,1.9975,,
2026-09-19,cheese,No Frills Canada,Old Cheddar Cheese,https://www.nofrills.ca/en/old-cheddar-cheese/p/20975873_EA,700 g,700.0,g,10.0,$1.43/100g,1.43,100g,False,,,,,,,dairy,cheese,cheddar_cheese,unspecified,,100g,1.4285714285714286,,
2026-09-19,cheese,No Frills Canada,Triple Cheddar Shredded Cheese Blend,https://www.nofrills.ca/en/triple-cheddar-shredded-cheese-blend/p/21060183_EA,320 g,320.0,g,4.99,$1.56/100g,1.56,100g,False,SALE,4.99,6.0,,,,dairy,cheese,cheddar_cheese,shredded,,100g,1.559375,,
