date_observed,search_term,store,product_title,product_url,package_size_text,package_size,package_unit,displayed_price,unit_price_text,listed_unit_price,listed_unit,is_variable_weight,sale_status,sale_price,regular_price,category,product_family,comparison_group,product_form,attributes,standardized_unit,price_per_standard_unit,normalization_error
2026-09-18,chicken breast,Walmart Canada,"Gardein® Suprême™ Chick'n Buffalo Wings 419 g, PINNACLE FOODS GR SUP CKN WNG BFL",https://www.walmart.ca/en/ip/Gardein-Supr-me-Chick-n-Buffalo-Wings-419-g-PINNACLE-FOODS-GR-SUP-CKN-WNG-BFL/75YPX8RDQYPS,419 g,419.0,g,10.47,$2.50/100g,2.5,100g,False,,,,unknown,unknown,unsupported,unknown,,100g,2.498806682577566,
2026-09-18,chicken breast,Walmart Canada,"Maple Leaf Boneless Skinless Chicken Breasts, 3 - 5 pc, 0.70 - 0.94 KG",https://www.walmart.ca/en/ip/maple-leaf-boneless-skinless-chicken-breasts/7J1VBG2FE9XL,0.70 - 0.94 KG,,kg,10.61,$1.29/100g,1.29,100g,True,,,,meat,chicken_breast,chicken_breast_boneless,whole,boneless|skinless,100g,1.29,
2026-09-18,chicken breast,Walmart Canada,"Maple Leaf Boneless Skinless Chicken Breasts, 6-7 pc, 1.23 - 1.60 KG",https://www.walmart.ca/en/ip/maple-leaf-boneless-skinless-chicken-breasts/3Z4HSOD28G07,1.23 - 1.60 KG,,kg,17.91,$1.27/100g,1.27,100g,True,,,,meat,chicken_breast,chicken_breast_boneless,whole,boneless|skinless,100g,1.27,
2026-09-18,chicken breast,Walmart Canada,"Prime Boneless Skinless Chicken Breasts Raised Without Antibiotics, 2 -3 pc, 0.53 - 0.69 KG",https://www.walmart.ca/en/ip/prime-boneless-skinless-chicken-breasts-raised-without-antibiotics/3VLCAVLWS55J,0.53 - 0.69 KG,,kg,8.53,$1.40/100g,1.4,100g,True,Rollback,8.53,9.99,meat,chicken_breast,chicken_breast_boneless,whole,boneless|skinless|raised_without_antibiotics,100g,1.4,
2026-09-18,chicken breast,Walmart Canada,"Prime Boneless Skinless Chicken Breasts Raised Without Antibiotics, 6-7 pc, 1.23 - 1.60 KG",https://www.walmart.ca/en/ip/prime-boneless-skinless-chicken-breasts-raised-without-antibiotics/6R6I4P26OOYP,1.23 - 1.60 KG,,kg,20.98,$1.48/100g,1.48,100g,True,,,,meat,chicken_breast,chicken_breast_boneless,whole,boneless|skinless|raised_without_antibiotics,100g,1.48,
2026-09-18,chicken breast,Walmart Canada,"Mina Halal Boneless Skinless Chicken Breasts, 3 - 5 pc, 0.76 - 0.97 KG",https://www.walmart.ca/en/ip/mina-halal-boneless-skinless-chicken-breasts/51S95NEK115W,0.76 - 0.97 KG,,kg,11.64,$1.35/100g,1.35,100g,True,,,,meat,chicken_breast,chicken_breast_boneless,whole,halal|boneless|skinless,100g,1.35,
2026-09-18,chicken breast,Walmart Canada,"Prime Sliced Boneless Skinless Chicken Breasts Raised Without Antibiotics, 5 pc, 0.44 - 0.57 KG",https://www.walmart.ca/en/ip/prime-sliced-boneless-skinless-chicken-breasts-raised-without-antibiotics/5ZNK7UZUJBXG,0.44 - 0.57 KG,,kg,13.93,$2.76/100g,2.76,100g,True,,,,meat,chicken_breast,chicken_breast_boneless,sliced,boneless|skinless|raised_without_antibiotics,100g,2.76,
2026-09-18,chicken breast,Walmart Canada,"Prime Raised Without Antibiotics Diced Chicken Breast, pc, 0.48 - 0.57 KG",https://www.walmart.ca/en/ip/prime-raised-without-antibiotics-diced-chicken-breast/3JL25TEW2309,0.48 - 0.57 KG,,kg,11.38,$2.17/100g,2.17,100g,True,,,,meat,chicken_breast,chicken_breast,diced,raised_without_antibiotics,100g,2.17,
2026-09-18,chicken breast,Walmart Canada,"GV Fully Cooked Chicken Breast Strips, 700g",https://www.walmart.ca/en/ip/GV-Fully-Cooked-Chicken-Breast-Strips-700g/3Q7PL6AXT7AD,700g,700.0,g,9.98,$1.43/100g,1.43,100g,False,,,,meat,chicken_breast,chicken_breast_strips,strips,,100g,1.4257142857142857,
2026-09-18,chicken breast,Walmart Canada,"Prime Boneless Skinless Chicken Breasts Organic, 2 pc, 0.44 - 0.55 KG",https://www.walmart.ca/en/ip/prime-boneless-skinless-chicken-breasts-organic/6DC4X9YA6ZAG,0.44 - 0.55 KG,,kg,14.62,$2.95/100g,2.95,100g,True,,,,meat,chicken_breast,chicken_breast_boneless,whole,organic|boneless|skinless,100g,2.95,
2026-09-18,eggs,Walmart Canada,Great Value Large 12 Eggs,https://www.walmart.ca/en/ip/Great-Value-Large-12-Eggs/10052944,12 Eggs,12.0,count,3.93,,,,False,,,,dairy,eggs,large_eggs,shell,,1unit,0.3275,
2026-09-18,eggs,Walmart Canada,Great Value Medium White 30 Eggs,https://www.walmart.ca/en/ip/Great-Value-Medium-White-30-Eggs/29JQFZYPVSQ1,30 Eggs,30.0,count,9.18,,,,False,,,,dairy,eggs,medium_eggs,shell,,1unit,0.306,
2026-09-18,eggs,Walmart Canada,Gray Ridge Premium Large White 18 Eggs,https://www.walmart.ca/en/ip/Gray-Ridge-Premium-Large-White-18-Eggs/6000191268613,18 Eggs,18.0,count,6.98,,,,False,,,,dairy,eggs,large_eggs,shell,,1unit,0.3877777777777778,
2026-09-18,eggs,Walmart Canada,Gray Ridge Medium White 60 Eggs,https://www.walmart.ca/en/ip/Gray-Ridge-Medium-White-60-Eggs/3IH8YI1WOI5C,60 Eggs,60.0,count,17.98,,,,False,,,,dairy,eggs,medium_eggs,shell,,1unit,0.2996666666666667,
2026-09-18,eggs,Walmart Canada,Great Value XL White 12 Eggs,https://www.walmart.ca/en/ip/Great-Value-XL-White-12-Eggs/6000191273494,12 Eggs,12.0,count,4.63,,,,False,,,,dairy,eggs,extra_large_eggs,shell,,1unit,0.3858333333333333,
2026-09-18,eggs,Walmart Canada,Gray Ridge Large Brown 18 Eggs,https://www.walmart.ca/en/ip/Gray-Ridge-Large-Brown-18-Eggs/6000191268641,18 Eggs,18.0,count,7.24,,,,False,,,,dairy,eggs,large_eggs,shell,,1unit,0.40222222222222226,
2026-09-18,eggs,Walmart Canada,Conestoga Farms Free Run Omega3 Large 18 Eggs,https://www.walmart.ca/en/ip/Conestoga-Farms-Free-Run-Omega3-Large-18-Eggs/15SGVF892XRR,18 Eggs,18.0,count,9.98,,,,False,,,,dairy,eggs,large_eggs,shell,free_run|omega_3,1unit,0.5544444444444445,
2026-09-18,eggs,Walmart Canada,Great Value Organic Free Run Large Brown 12 Eggs,https://www.walmart.ca/en/ip/Great-Value-Organic-Free-Run-Large-Brown-12-Eggs/6000196119460,12 Eggs,12.0,count,7.88,,,,False,,,,dairy,eggs,large_eggs,shell,organic|free_run,1unit,0.6566666666666666,
2026-09-18,eggs,Walmart Canada,Great Value Omega-3 Large White 12 Eggs,https://www.walmart.ca/en/ip/Great-Value-Omega-3-Large-White-12-Eggs/6000196968682,12 Eggs,12.0,count,6.22,,,,False,sale,6.22,6.93,dairy,eggs,large_eggs,shell,omega_3,1unit,0.5183333333333333,
2026-09-18,eggs,Walmart Canada,Conestoga Farms Free Run Omega-3 Large Brown 12 Eggs,https://www.walmart.ca/en/ip/Conestoga-Farms-Free-Run-Omega-3-Large-Brown-12-Eggs/6000197453383,12 Eggs,12.0,count,7.28,,,,False,,,,dairy,eggs,large_eggs,shell,free_run|omega_3,1unit,0.6066666666666667,
2026-09-18,apples,Walmart Canada,"Apples, Rave, Your Fresh Market, 1.36 kg (3 lb)",https://www.walmart.ca/en/ip/apples-rave-your-fresh-market/4Q5R36TU3DHH,3 lb,3.0,lb,4.98,,,,False,,,,produce,apples,fresh_apples,loose,,100g,0.3659673552268968,
2026-09-18,apples,Walmart Canada,"Your Fresh Market Organic Gala Apples, 2 lb Bag",https://www.walmart.ca/en/ip/your-fresh-market-organic-gala-apples/6000196625209,2 lb,2.0,lb,6.44,,,,False,,,,produce,apples,fresh_apples,bagged,organic,100g,0.7098884842353058,
2026-09-18,apples,Walmart Canada,"Royal Gala Apple, Your Fresh Market, 3 lb bag",https://www.walmart.ca/en/ip/royal-gala-apple-your-fresh-market/6000197346282,3 lb,3.0,lb,3.98,,,,False,,,,produce,apples,fresh_apples,bagged,,100g,0.29247993449860427,
2026-09-18,apples,Walmart Canada,"Apple, Gala, Sold in singles, 0.13 - 0.18 KG",https://www.walmart.ca/en/ip/apple-gala/6000195494285,0.13 - 0.18 KG,,kg,0.39,22¢/100g,0.22,100g,True,,,,produce,apples,fresh_apples,loose,,100g,0.22,
2026-09-18,apples,Walmart Canada,"Apple, Honeycrisp, Sold in singles, 0.13 - 0.18 KG",https://www.walmart.ca/en/ip/apple-honeycrisp/6000192860450,0.13 - 0.18 KG,,kg,1.0,55¢/100g,0.55,100g,True,,,,produce,apples,fresh_apples,loose,,100g,0.55,
2026-09-18,apples,Walmart Canada,"Apples, Pink Lady Organic, 2lbs bag",https://www.walmart.ca/en/ip/apples-pink-lady-organic/2YCNCD230HC1,2lbs,2.0,lb,6.97,,,,False,,,,produce,apples,fresh_apples,bagged,organic,100g,0.7683109837142983,
2026-09-18,apples,Walmart Canada,"Apple, Empire, Sold in singles, 0.13 - 0.18 KG",https://www.walmart.ca/en/ip/apple-empire/6000197059538,0.13 - 0.18 KG,,kg,0.67,43¢/100g,0.43,100g,True,,,,produce,apples,fresh_apples,loose,,100g,0.43,
2026-09-18,apples,Walmart Canada,"Apple, Golden Delicious, Sold in singles, 0.13 - 0.18 KG",https://www.walmart.ca/en/ip/apple-golden-delicious/6000189882598,0.13 - 0.18 KG,,kg,0.33,22¢/100g,0.22,100g,True,,,,produce,apples,fresh_apples,loose,,100g,0.22,
2026-09-18,apples,Walmart Canada,"Apple, Pink Lady, Sold in singles, 0.13 - 0.18 KG",https://www.walmart.ca/en/ip/apple-pink-lady/6000197214092,0.13 - 0.18 KG,,kg,0.85,55¢/100g,0.55,100g,True,,,,produce,apples,fresh_apples,loose,,100g,0.55,
2026-09-18,apples,Walmart Canada,"Macintosh Apple, 3 lb Bag",https://www.walmart.ca/en/ip/macintosh-apple/6000194126173,3 lb,3.0,lb,3.98,,,,False,,,,produce,apples,fresh_apples,bagged,,100g,0.29247993449860427,
2026-09-18,bananas,Walmart Canada,"Banana, Sold in singles, 0.15 - 0.23 KG",https://www.walmart.ca/en/ip/banana/875806,0.15 - 0.23 KG,,kg,0.35,15¢/100g,0.15,100g,True,,,,produce,bananas,fresh_bananas,loose,,100g,0.15,
2026-09-18,bananas,Walmart Canada,"Fairtrade Organic Banana, Sold in singles, 0.15 - 0.24 KG",https://www.walmart.ca/en/ip/fairtrade-organic-banana/6000191272016,0.15 - 0.24 KG,,kg,0.57,24¢/100g,0.24,100g,True,,,,produce,bananas,fresh_bananas,loose,organic,100g,0.24,
2026-09-18,bananas,Walmart Canada,"Plantain, Sold in Singles, 0.25 - 0.35 KG",https://www.walmart.ca/en/ip/plantain/6000196180853,0.25 - 0.35 KG,,kg,1.55,44¢/100g,0.44,100g,True,,,,produce,plantains,fresh_plantains,loose,,100g,0.44,
2026-09-18,pasta,Walmart Canada,Great Value Fusilli Pasta,https://www.walmart.ca/en/ip/Great-Value-Fusilli-Pasta/14EEGNOB0HF0,,,,1.97,,,,False,,,,pantry,pasta,dry_pasta,dry,,,,No supported package or listed unit was available.
2026-09-18,pasta,Walmart Canada,Barilla Cellentani Pasta,https://www.walmart.ca/en/ip/Barilla-Cellentani-Pasta/3PGQPH07TCZQ,,,,2.44,72¢/100g,0.72,100g,False,,,,pantry,pasta,dry_pasta,dry,,100g,0.72,
